case_name,architecture,assignment,chunk_size,request_rate_per_second,input_tokens,output_tokens,trace_num_requests,prefill_gpu_count,decode_gpu_count,colocated_gpu_count,scheduler_max_prefill_batch_tokens,pd_prefill_max_batch_tokens,ttft_mean_ms,tpot_mean_ms,e2e_mean_ms,e2e_p99_ms,slo_attainment_fraction,goodput_reqs_per_sec,output_token_throughput_tokens_per_sec,source_summary,request_config_path
c4__chunk_0064__rps_04__in_00128__out_2048,colocated_chunked,C4,64,4.0,128,2048,256,,,4,64,,6995.8485882578125,21.363900416748045,50720.279791757814,60114.621890999995,0.5,1.1005662956454019,4507.919546963566,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_00128__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_00128__out_2048/request.json
c4__chunk_0064__rps_04__in_00256__out_2048,colocated_chunked,C4,64,4.0,256,2048,256,,,4,64,,7976.97779228125,22.01863583349609,53042.307129281246,63225.839703,0.5,1.0827834674971943,4435.081082868508,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_00256__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_00256__out_2048/request.json
c4__chunk_0064__rps_04__in_00512__out_2048,colocated_chunked,C4,64,4.0,512,2048,256,,,4,64,,9943.856684453125,23.322826542663574,57680.16859382812,69448.275327,0.5,1.0490658670953352,4296.973791622493,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_00512__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_00512__out_2048/request.json
c4__chunk_0064__rps_04__in_01024__out_2048,colocated_chunked,C4,64,4.0,1024,2048,256,,,4,64,,13972.563383007811,25.875766655548095,66937.29664357031,83530.33681899999,0.5,0.9870879242472561,4043.112137716761,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_01024__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_01024__out_2048/request.json
c4__chunk_0064__rps_04__in_01536__out_2048,colocated_chunked,C4,64,4.0,1536,2048,256,,,4,64,,19451.01895560156,27.47696435820007,75695.0051111953,98294.634547,0.02734375,0.05090102010072307,3812.3991466525567,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_01536__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_01536__out_2048/request.json
c4__chunk_0064__rps_04__in_02048__out_2048,colocated_chunked,C4,64,4.0,2048,2048,256,,,4,64,,25950.495895023436,28.69271298486328,84684.33523802343,112971.45632299999,0.0,0.0,3552.9434242781736,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_02048__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_02048__out_2048/request.json
c4__chunk_0064__rps_04__in_03072__out_2048,colocated_chunked,C4,64,4.0,3072,2048,256,,,4,64,,56472.73688865625,20.954690781280515,99359.10675871874,142205.419941,0.0,0.0,3014.457367778875,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_03072__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_03072__out_2048/request.json
c4__chunk_0064__rps_04__in_04096__out_2048,colocated_chunked,C4,64,4.0,4096,2048,256,,,4,64,,78924.31500864062,20.709165,121307.84807864061,171734.01539699998,0.0,0.0,2578.522508857884,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_04096__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_04096__out_2048/request.json
c4__chunk_0064__rps_04__in_06144__out_2048,colocated_chunked,C4,64,4.0,6144,2048,256,,,4,64,,123217.20819264062,20.709165,165600.74126264063,230791.206309,0.0,0.0,1998.1551263395365,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_06144__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_06144__out_2048/request.json
c4__chunk_0064__rps_04__in_07168__out_2048,colocated_chunked,C4,64,4.0,7168,2048,256,,,4,64,,145363.65478464062,20.709165,187747.18785464062,260319.80176499998,0.0,0.0,1796.031942638819,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_07168__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_07168__out_2048/request.json
c4__chunk_0064__rps_04__in_10000__out_2048,colocated_chunked,C4,64,4.0,10000,2048,256,,,4,64,,207584.01473664062,20.709165,249967.54780664062,343280.281701,0.0,0.0,1398.567112370585,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_10000__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_10000__out_2048/request.json
c4__chunk_0128__rps_04__in_00128__out_2048,colocated_chunked,C4,128,4.0,128,2048,256,,,4,128,,6536.781749195312,21.057510020874023,49633.72542194531,58658.661656,0.5,1.1091337036122184,4543.011649995647,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_00128__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_00128__out_2048/request.json
c4__chunk_0128__rps_04__in_00256__out_2048,colocated_chunked,C4,128,4.0,256,2048,256,,,4,128,,7059.3294852109375,21.405855041748048,50869.683760710934,60309.722985,0.5,1.0994999482215453,4503.5517879154495,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_00256__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_00256__out_2048/request.json
