case_name,source_summary,architecture,scale_family,calibration_scope,server_gpu_count,colocated_gpu_count,prefill_gpu_count,decode_gpu_count,total_gpu_count,prefill_layout_name,decode_layout_name,prefill_tp_degree,decode_tp_degree,prefill_pp_degree,decode_pp_degree,prefill_ep_degree,decode_ep_degree,prefill_dp_attention_degree,decode_dp_attention_degree,target_request_rate_per_second,trace_request_rate_per_second,trace_num_requests,prompt_tokens_distribution,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,output_tokens_distribution,output_tokens_min,output_tokens_max,output_tokens_mean,pressure_family,assignment,num_requests,total_prompt_tokens,total_output_tokens,makespan_ns,request_throughput_reqs_per_sec,output_token_throughput_tokens_per_sec,queue_delay_mean_ns,prefill_queue_delay_mean_ns,decode_queue_delay_mean_ns,transfer_duration_mean_ns,ttft_mean_ns,ttft_p99_ns,tpot_mean_ns,e2e_mean_ns,e2e_p99_ns,good_requests,bad_requests,slo_attainment_fraction,goodput_reqs_per_sec,runtime_seed,trace_seed,request_config_path,binary
c4__chunk_0064__rps_04__in_00128__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_00128__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,128,128,128.0,uniform,2048,2048,2048.0,,C4,256,32768,524288,116303761533,2.2011325912908037,4507.919546963566,6909338700.2578125,6909338700.2578125,0.0,0.0,6995848588.2578125,16522053147.0,21363900.416748047,50720279791.75781,60114621891.0,128,128,0.5,1.1005662956454019,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_00128__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0064__rps_04__in_00256__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_00256__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,256,256,256.0,uniform,2048,2048,2048.0,,C4,256,65536,524288,118213847775,2.1655669349943887,4435.081082868508,7832794866.28125,7832794866.28125,0.0,0.0,7976977792.28125,18422137161.0,22018635.833496094,53042307129.28125,63225839703.0,128,128,0.5,1.0827834674971943,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_00256__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0064__rps_04__in_00512__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_00512__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,512,512,512.0,uniform,2048,2048,2048.0,,C4,256,131072,524288,122013311094,2.0981317341906704,4296.973791622493,9677118552.703125,9677118552.703125,7209129.75,0.0,9943856684.453125,22222305189.0,23322826.542663574,57680168593.828125,69448275327.0,128,128,0.5,1.0490658670953352,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_00512__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0064__rps_04__in_01024__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_01024__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,1024,1024,1024.0,uniform,2048,2048,2048.0,,C4,256,262144,524288,129674365227,1.9741758484945122,4043.112137716761,13385018977.382812,13385018977.382812,97323251.625,0.0,13972563383.007812,30063733635.0,25875766.655548096,66937296643.57031,83530336819.0,128,128,0.5,0.9870879242472561,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_01024__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0064__rps_04__in_01536__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_01536__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,1536,1536,1536.0,uniform,2048,2048,2048.0,,C4,256,393216,524288,137521801845,1.8615230208264437,3812.3991466525567,17243222638.664062,17243222638.664062,1486883010.9375,0.0,19451018955.601562,42728902093.0,27476964.358200073,75695005111.19531,98294634547.0,7,249,0.02734375,0.05090102010072307,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_01536__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0064__rps_04__in_02048__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_02048__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,2048,2048,2048.0,uniform,2048,2048,2048.0,,C4,256,524288,524288,147564409953,1.734835656385827,3552.9434242781736,21596181195.023438,21596181195.023438,3402709242.0,0.0,25950495895.023438,57616881143.0,28692712.98486328,84684335238.02344,112971456323.0,0,256,0.0,0.0,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_02048__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0064__rps_04__in_03072__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_03072__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,3072,3072,3072.0,uniform,2048,2048,2048.0,,C4,256,786432,524288,173924503164,1.4719030116107787,3014.457367778875,33940601524.03125,33940601524.03125,21119145602.625,0.0,56472736888.65625,99821886871.0,20954690.781280518,99359106758.71875,142205419941.0,0,256,0.0,0.0,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_03072__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0064__rps_04__in_04096__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_04096__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,4096,4096,4096.0,uniform,2048,2048,2048.0,,C4,256,1048576,524288,203328843630,1.2590441937782637,2578.522508857884,48444114094.640625,48444114094.640625,28605826848.0,0.0,78924315008.64062,129350482327.0,20709165.0,121307848078.64062,171734015397.0,0,256,0.0,0.0,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_04096__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0064__rps_04__in_06144__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_06144__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,6144,6144,6144.0,uniform,2048,2048,2048.0,,C4,256,1572864,524288,262386034542,0.9756616827829768,1998.1551263395365,77511325246.64062,77511325246.64062,42908740272.0,0.0,123217208192.64062,188407673239.0,20709165.0,165600741262.64062,230791206309.0,0,256,0.0,0.0,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_06144__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0064__rps_04__in_07168__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_07168__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,7168,7168,7168.0,uniform,2048,2048,2048.0,,C4,256,1835008,524288,291914629998,0.8769687219916108,1796.031942638819,92044930822.64062,92044930822.64062,50060196984.0,0.0,145363654784.64062,217936268695.0,20709165.0,187747187854.64062,260319801765.0,0,256,0.0,0.0,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_07168__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
