source,mode,run_id,run_family,target_request_rate,request_count,good_requests,request_throughput_reqs_per_sec,goodput_reqs_per_sec,output_token_throughput_tokens_per_sec,ttft_mean_ns,ttft_p99_ns,tpot_mean_ns,e2e_mean_ns,e2e_p99_ns
calibrated,colocated,pilot_rate_sweep__colocated__sharegpt_seed_0__rps_0_5__seed_0,pilot_rate_sweep,0.5,1000,1000,0.49857580584193784,0.49857580584193784,127.63540629553609,75072015.474,120417004.0,22643313.504,5871760398.665,6073893594.0
simulation,colocated,pilot_rate_sweep__colocated__sharegpt_seed_0__rps_0_5__seed_0,pilot_rate_sweep,0.5,1000,1000,0.4985758058419439,0.4985758058419439,127.63540629553763,79092463.244,130956620.0,21461314.680796877,5573189021.528,5921884458.0
calibrated,colocated,pilot_rate_sweep__colocated__sharegpt_seed_0__rps_16__seed_0,pilot_rate_sweep,16.0,1000,135,10.714361806532471,1.4464388438818836,2742.8766224723126,10378029239.74,23189652475.0,42716327.955,21313409319.972,32826380693.0
simulation,colocated,pilot_rate_sweep__colocated__sharegpt_seed_0__rps_16__seed_0,pilot_rate_sweep,16.0,1000,128,10.714361806535297,1.371438311236518,2742.876622473036,9311847449.844,19812005982.0,40114962.35166406,19581277811.87,28329281787.0
calibrated,colocated,pilot_rate_sweep__colocated__sharegpt_seed_0__rps_1__seed_0,pilot_rate_sweep,1.0,1000,1000,0.9942450433616189,0.9942450433616189,254.52673110057444,79174243.497,126957893.0,23109561.304,5995222065.667,6250193210.0
simulation,colocated,pilot_rate_sweep__colocated__sharegpt_seed_0__rps_1__seed_0,pilot_rate_sweep,1.0,1000,1000,0.9942450433615976,0.9942450433615976,254.52673110056898,81486114.294,154711913.0,22218331.960585937,5769379096.204,6257440444.0
calibrated,colocated,pilot_rate_sweep__colocated__sharegpt_seed_0__rps_2__seed_0,pilot_rate_sweep,2.0,1000,1000,1.9766448433862298,1.9766448433862298,506.02107990687483,83919577.475,133620460.0,24336184.886,6313983033.668,6855356962.0
simulation,colocated,pilot_rate_sweep__colocated__sharegpt_seed_0__rps_2__seed_0,pilot_rate_sweep,2.0,1000,1000,1.9766448433863768,1.9766448433863768,506.02107990691246,85181699.2,165896177.0,23922989.2041875,6209466935.472,6895155074.0
calibrated,colocated,pilot_rate_sweep__colocated__sharegpt_seed_0__rps_4__seed_0,pilot_rate_sweep,4.0,1000,1000,3.902616591145358,3.902616591145358,999.0698473332117,93516281.809,162718567.0,27621439.202,7164604845.254,7697020541.0
simulation,colocated,pilot_rate_sweep__colocated__sharegpt_seed_0__rps_4__seed_0,pilot_rate_sweep,4.0,1000,1000,3.9026165911454527,3.9026165911454527,999.0698473332359,91611253.425,181280223.0,27715796.491664063,7186855155.291,8180295567.0
calibrated,colocated,pilot_rate_sweep__colocated__sharegpt_seed_0__rps_8__seed_0,pilot_rate_sweep,8.0,1000,1000,7.576413884677767,7.576413884677767,1939.5619544775084,115345384.217,215950810.0,33809665.523,8770619883.396,9986429998.0
simulation,colocated,pilot_rate_sweep__colocated__sharegpt_seed_0__rps_8__seed_0,pilot_rate_sweep,8.0,1000,1000,7.57641388467663,7.57641388467663,1939.5619544772173,106464909.909,200494359.0,36629220.643203124,9483545394.569,11114239822.0
calibrated,colocated,rate_sweep_near_knee__colocated__sharegpt_seed_0__rps_0_25__seed_0,rate_sweep_near_knee,0.25,1000,1000,0.24965093241687952,0.24965093241687952,63.91063869872116,68984766.68,119318328.0,22286516.924,5774333228.605,5997707134.0
simulation,colocated,rate_sweep_near_knee__colocated__sharegpt_seed_0__rps_0_25__seed_0,rate_sweep_near_knee,0.25,1000,1000,0.24965093241688135,0.24965093241688135,63.91063869872163,76582032.301,117384124.0,21089778.4224375,5475565308.445,5720580285.0
calibrated,colocated,rate_sweep_near_knee__colocated__sharegpt_seed_0__rps_0_375__seed_0,rate_sweep_near_knee,0.375,1000,1000,0.37420420734113996,0.37420420734113996,95.79627707933183,72994693.502,121480214.0,22488417.197,5830029625.817,6034864518.0
simulation,colocated,rate_sweep_near_knee__colocated__sharegpt_seed_0__rps_0_375__seed_0,rate_sweep_near_knee,0.375,1000,1000,0.37420420734113535,0.37420420734113535,95.79627707933065,78012681.689,125521676.0,21269574.581851564,5523023774.643,5809157108.0
calibrated,colocated,rate_sweep_near_knee__colocated__sharegpt_seed_0__rps_0_5__seed_0,rate_sweep_near_knee,0.5,1000,1000,0.49857620979491285,0.49857620979491285,127.63550970749769,75701342.964,123507181.0,22651357.807,5874449069.011,6076769192.0
