case_name,source_summary,architecture,scale_family,calibration_scope,server_gpu_count,colocated_gpu_count,prefill_gpu_count,decode_gpu_count,total_gpu_count,prefill_layout_name,decode_layout_name,prefill_tp_degree,decode_tp_degree,prefill_pp_degree,decode_pp_degree,prefill_ep_degree,decode_ep_degree,prefill_dp_attention_degree,decode_dp_attention_degree,target_request_rate_per_second,trace_request_rate_per_second,trace_num_requests,prompt_tokens_distribution,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,output_tokens_distribution,output_tokens_min,output_tokens_max,output_tokens_mean,pressure_family,assignment,num_requests,total_prompt_tokens,total_output_tokens,makespan_ns,request_throughput_reqs_per_sec,output_token_throughput_tokens_per_sec,queue_delay_mean_ns,prefill_queue_delay_mean_ns,decode_queue_delay_mean_ns,transfer_duration_mean_ns,ttft_mean_ns,ttft_p99_ns,tpot_mean_ns,e2e_mean_ns,e2e_p99_ns,good_requests,bad_requests,slo_attainment_fraction,goodput_reqs_per_sec,runtime_seed,trace_seed,request_config_path,binary
c4__rps_08__in_0128__out_0016,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0128__out_0016/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,8,8,256,uniform,128,128,128.0,uniform,16,16,16.0,,C4,256,32768,4096,31911157493,8.022272462418698,128.35635939869917,3991071.08203125,3991071.08203125,1972706.6875,0.0,69090391.76953125,126253228.0,21880459.595703125,419177745.30078125,520726482.0,256,0,1.0,8.022272462418698,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0128__out_0016/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_08__in_0128__out_0032,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0128__out_0032/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,8,8,256,uniform,128,128,128.0,uniform,32,32,32.0,,C4,256,32768,8192,32242700479,7.9397816000783,254.0730112025056,8838213.76953125,8838213.76953125,2712471.6953125,0.0,74723021.46484375,131025373.0,22389762.44482422,791195419.6992188,928634788.0,256,0,1.0,7.9397816000783,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0128__out_0032/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_08__in_0128__out_0064,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0128__out_0064/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,8,8,256,uniform,128,128,128.0,uniform,64,64,64.0,,C4,256,32768,16384,32905504863,7.779853281870007,497.9106100396804,12942754.44921875,12942754.44921875,246588.3359375,0.0,76407400.78515625,128946893.0,23057750.352905273,1552103423.3710938,1720848974.0,256,0,1.0,7.779853281870007,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0128__out_0064/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_08__in_0128__out_0128,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0128__out_0128/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,8,8,256,uniform,128,128,128.0,uniform,128,128,128.0,,C4,256,32768,32768,34218837842,7.481259333880332,957.6011947366825,13322028.421875,13322028.421875,0.0,0.0,76585808.421875,137862531.0,23253216.969543457,3052997580.5234375,3288331951.0,256,0,1.0,7.481259333880332,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0128__out_0128/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_08__in_0128__out_0256,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0128__out_0256/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,8,8,256,uniform,128,128,128.0,uniform,256,256,256.0,,C4,256,32768,65536,36908887117,6.935998887977525,1775.6157153222464,11769909.2421875,11769909.2421875,0.0,0.0,74942245.2421875,131817949.0,23304836.347717285,6040980350.2578125,6389517330.0,256,0,1.0,6.935998887977525,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0128__out_0256/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_08__in_0128__out_0512,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0128__out_0512/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,8,8,256,uniform,128,128,128.0,uniform,512,512,512.0,,C4,256,32768,131072,42173155440,6.070212136822741,3107.9486140532435,11301018.33203125,11301018.33203125,0.0,0.0,74427632.33203125,120652785.0,23138927.021102905,11921558267.136719,12515708379.0,256,0,1.0,6.070212136822741,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0128__out_0512/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_08__in_0128__out_1024,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0128__out_1024/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,8,8,256,uniform,128,128,128.0,uniform,1024,1024,1024.0,,C4,256,32768,262144,59290545679,4.317720423522298,4421.345713686833,4008098853.21875,4008098853.21875,0.0,0.0,4071225467.21875,9379381011.0,22142459.70263672,26745104202.71875,31899821221.0,128,128,0.5,2.158860211761149,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0128__out_1024/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_08__in_0256__out_0016,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0256__out_0016/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,8,8,256,uniform,256,256,256.0,uniform,16,16,16.0,,C4,256,65536,4096,31902153160,8.024536736316014,128.39258778105622,4903922.49609375,4903922.49609375,2694493.359375,0.0,76577445.85546875,148880311.0,22005889.92919922,428671684.72265625,538283730.0,256,0,1.0,8.024536736316014,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0256__out_0016/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_08__in_0256__out_0032,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0256__out_0032/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,8,8,256,uniform,256,256,256.0,uniform,32,32,32.0,,C4,256,65536,8192,32254405311,7.936900325137729,253.98081040440732,9766311.1328125,9766311.1328125,3233392.03125,0.0,82070177.1640625,137958060.0,22638840.622802734,806513077.09375,944672605.0,256,0,1.0,7.936900325137729,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0256__out_0032/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_08__in_0256__out_0064,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0256__out_0064/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,8,8,256,uniform,256,256,256.0,uniform,64,64,64.0,,C4,256,65536,16384,32899840207,7.781192807907062,497.99633970605197,13934858.65234375,13934858.65234375,538898.671875,0.0,83910007.32421875,149997174.0,23196084.982299805,1568459446.1914062,1814518935.0,256,0,1.0,7.781192807907062,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/fig2_crossover_c4_token_shape_8rps/c4__rps_08__in_0256__out_0064/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
