case_name,source_summary,architecture,scale_family,calibration_scope,server_gpu_count,colocated_gpu_count,prefill_gpu_count,decode_gpu_count,total_gpu_count,prefill_layout_name,decode_layout_name,prefill_tp_degree,decode_tp_degree,prefill_pp_degree,decode_pp_degree,prefill_ep_degree,decode_ep_degree,prefill_dp_attention_degree,decode_dp_attention_degree,target_request_rate_per_second,trace_request_rate_per_second,trace_num_requests,prompt_tokens_distribution,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,output_tokens_distribution,output_tokens_min,output_tokens_max,output_tokens_mean,pressure_family,assignment,num_requests,total_prompt_tokens,total_output_tokens,makespan_ns,request_throughput_reqs_per_sec,output_token_throughput_tokens_per_sec,queue_delay_mean_ns,prefill_queue_delay_mean_ns,decode_queue_delay_mean_ns,transfer_duration_mean_ns,ttft_mean_ns,ttft_p99_ns,tpot_mean_ns,e2e_mean_ns,e2e_p99_ns,good_requests,bad_requests,slo_attainment_fraction,goodput_reqs_per_sec,runtime_seed,trace_seed,request_config_path,binary
c4__rps_04__in_0128__out_0016,build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0128__out_0016/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,128,128,128.0,uniform,16,16,16.0,,C4,256,32768,4096,63389792238,4.038505111971905,64.61608179155049,720758.5703125,720758.5703125,493176.671875,0.0,64340549.2421875,103746123.0,20940341.564941406,399386014.28125,457599868.0,256,0,1.0,4.038505111971905,23,13,/home/justin/astra-sim/build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0128__out_0016/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_04__in_0128__out_0032,build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0128__out_0032/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,128,128,128.0,uniform,32,32,32.0,,C4,256,32768,8192,63721138878,4.017505093406061,128.56016298899397,2931488.61328125,2931488.61328125,1726118.3515625,0.0,67784220.96484375,126253228.0,21156106.35888672,744779624.4492188,807567012.0,256,0,1.0,4.017505093406061,23,13,/home/justin/astra-sim/build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0128__out_0032/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_04__in_0128__out_0064,build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0128__out_0064/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,128,128,128.0,uniform,64,64,64.0,,C4,256,32768,16384,64400566061,3.9751203391212067,254.40770170375723,8278832.859375,8278832.859375,493176.671875,0.0,71898623.53125,126253228.0,21556812.404785156,1451534617.4375,1533045352.0,256,0,1.0,3.9751203391212067,23,13,/home/justin/astra-sim/build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0128__out_0064/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_04__in_0128__out_0128,build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0128__out_0128/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,128,128,128.0,uniform,128,128,128.0,,C4,256,32768,32768,65710822078,3.895857514856885,498.6697619016813,11542307.0390625,11542307.0390625,0.0,0.0,74668921.0390625,123967181.0,21803400.740722656,2865504215.8515625,2986120633.0,256,0,1.0,3.895857514856885,23,13,/home/justin/astra-sim/build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0128__out_0128/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_04__in_0128__out_0256,build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0128__out_0256/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,128,128,128.0,uniform,256,256,256.0,,C4,256,32768,65536,68366766262,3.744509415860603,958.5944104603144,11880292.8984375,11880292.8984375,0.0,0.0,75098350.8984375,127163955.0,21888969.188232422,5678674463.0859375,5887060959.0,256,0,1.0,3.744509415860603,23,13,/home/justin/astra-sim/build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0128__out_0256/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_04__in_0128__out_0512,build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0128__out_0512/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,128,128,128.0,uniform,512,512,512.0,,C4,256,32768,131072,73667313383,3.4750826145789158,1779.2422986644049,11243932.2421875,11243932.2421875,0.0,0.0,74370546.2421875,121311539.0,21920433.876724243,11297632691.125,11570480036.0,256,0,1.0,3.4750826145789158,23,13,/home/justin/astra-sim/build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0128__out_0512/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_04__in_0128__out_1024,build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0128__out_1024/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,128,128,128.0,uniform,1024,1024,1024.0,,C4,256,32768,262144,84273087319,3.037743224369601,3110.6490617544714,10860405.23828125,10860405.23828125,0.0,0.0,73987019.23828125,121311539.0,21853729.805381775,22452206339.94922,22993589642.0,256,0,1.0,3.037743224369601,23,13,/home/justin/astra-sim/build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0128__out_1024/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_04__in_0128__out_2048,build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0128__out_2048/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,128,128,128.0,uniform,2048,2048,2048.0,,C4,256,32768,524288,116487117077,2.1976679174812057,4500.823895001509,6996833571.09375,6996833571.09375,0.0,0.0,7059960185.09375,16665592570.0,21425812.35131836,50940023880.59375,60401523260.0,128,128,0.5,1.0988339587406029,23,13,/home/justin/astra-sim/build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0128__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_04__in_0256__out_0016,build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0256__out_0016/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,256,256,256.0,uniform,16,16,16.0,,C4,256,65536,4096,63395644654,4.038132294374381,64.6101167099901,838364.9453125,838364.9453125,538898.671875,0.0,70356293.6171875,115450955.0,20961773.752441406,405744673.65625,469304700.0,256,0,1.0,4.038132294374381,23,13,/home/justin/astra-sim/build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0256__out_0016/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__rps_04__in_0256__out_0032,build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0256__out_0032/summary.json,colocated,colocated_4gpu_dp,extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,256,256,256.0,uniform,32,32,32.0,,C4,256,65536,8192,63726991294,4.0171361428152474,128.54835657008792,3505006.703125,3505006.703125,1886145.3515625,0.0,74370182.0546875,137958060.0,21205962.213134766,752960972.875,817612418.0,256,0,1.0,4.0171361428152474,23,13,/home/justin/astra-sim/build/paper_data/20260609T013000Z_rps4_input10000_output2048/sweeps/c4_rps4/c4__rps_04__in_0256__out_0032/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
