case_name,source_summary,architecture,scale_family,calibration_scope,server_gpu_count,colocated_gpu_count,prefill_gpu_count,decode_gpu_count,total_gpu_count,prefill_layout_name,decode_layout_name,prefill_tp_degree,decode_tp_degree,prefill_pp_degree,decode_pp_degree,prefill_ep_degree,decode_ep_degree,prefill_dp_attention_degree,decode_dp_attention_degree,target_request_rate_per_second,trace_request_rate_per_second,trace_num_requests,prompt_tokens_distribution,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,output_tokens_distribution,output_tokens_min,output_tokens_max,output_tokens_mean,pressure_family,assignment,num_requests,total_prompt_tokens,total_output_tokens,makespan_ns,request_throughput_reqs_per_sec,output_token_throughput_tokens_per_sec,queue_delay_mean_ns,prefill_queue_delay_mean_ns,decode_queue_delay_mean_ns,transfer_duration_mean_ns,ttft_mean_ns,ttft_p99_ns,tpot_mean_ns,e2e_mean_ns,e2e_p99_ns,good_requests,bad_requests,slo_attainment_fraction,goodput_reqs_per_sec,runtime_seed,trace_seed,request_config_path,binary
gpu4__p1_d3__rps_08__in_0128__out_0016,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0128__out_0016/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,4,,1,3,4,prefill,decode,1,1,1,1,1,1,1,1,8,8,256,uniform,128,128,128.0,uniform,16,16,16.0,decode_heavy,P1/D3,256,32768,4096,31956472830,8.010896614337021,128.17434582939234,5990640.5390625,5990640.5390625,2473399.828125,897.0,142956709.3671875,181062719.0,25674015.0,464912123.3671875,503018133.0,256,0,1.0,8.010896614337021,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0128__out_0016/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_08__in_0128__out_0032,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0128__out_0032/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,4,,1,3,4,prefill,decode,1,1,1,1,1,1,1,1,8,8,256,uniform,128,128,128.0,uniform,32,32,32.0,decode_heavy,P1/D3,256,32768,8192,32369848183,7.908594397870735,253.07502073186353,5990640.5390625,5990640.5390625,4137622.23828125,897.0,144620931.77734375,179621734.0,25674015.0,877360585.7773438,912361388.0,256,0,1.0,7.908594397870735,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0128__out_0032/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_08__in_0128__out_0064,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0128__out_0064/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,4,,1,3,4,prefill,decode,1,1,1,1,1,1,1,1,8,8,256,uniform,128,128,128.0,uniform,64,64,64.0,decode_heavy,P1/D3,256,32768,16384,33189107024,7.713374144561317,493.65594525192427,5990640.5390625,5990640.5390625,5026630.9296875,897.0,145509940.46875,183738024.0,25674015.0,1699818074.46875,1738046158.0,256,0,1.0,7.713374144561317,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0128__out_0064/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_08__in_0128__out_0128,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0128__out_0128/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,4,,1,3,4,prefill,decode,1,1,1,1,1,1,1,1,8,8,256,uniform,128,128,128.0,uniform,128,128,128.0,decode_heavy,P1/D3,256,32768,32768,34832243984,7.349512139315291,940.7375538323572,5990640.5390625,5990640.5390625,5009729.77734375,897.0,145493039.31640625,185249650.0,25674015.0,3342938133.3164062,3382694744.0,256,0,1.0,7.349512139315291,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0128__out_0128/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_08__in_0128__out_0256,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0128__out_0256/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,4,,1,3,4,prefill,decode,1,1,1,1,1,1,1,1,8,8,256,uniform,128,128,128.0,uniform,256,256,256.0,decode_heavy,P1/D3,256,32768,65536,38118517904,6.715895949698937,1719.2693631229279,5990640.5390625,5990640.5390625,7554365.84765625,897.0,148037675.38671875,193815489.0,25674015.0,6631756689.386719,6677534503.0,256,0,1.0,6.715895949698937,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0128__out_0256/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_08__in_0128__out_0512,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0128__out_0512/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,4,,1,3,4,prefill,decode,1,1,1,1,1,1,1,1,8,8,256,uniform,128,128,128.0,uniform,512,512,512.0,decode_heavy,P1/D3,256,32768,131072,44691065744,5.728214258000086,2932.845700096044,5990640.5390625,5990640.5390625,7554365.84765625,897.0,148037675.38671875,193815489.0,25674015.0,13204304529.386719,13250082343.0,256,0,1.0,5.728214258000086,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0128__out_0512/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_08__in_0128__out_1024,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0128__out_1024/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,4,,1,3,4,prefill,decode,1,1,1,1,1,1,1,1,8,8,256,uniform,128,128,128.0,uniform,1024,1024,1024.0,decode_heavy,P1/D3,256,32768,262144,57836161424,4.4262965192874795,4532.527635750379,5990640.5390625,5990640.5390625,7554365.84765625,897.0,148037675.38671875,193815489.0,25675314.885528564,26350731292.16797,26395178023.0,256,0,1.0,4.4262965192874795,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0128__out_1024/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_08__in_0256__out_0016,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0256__out_0016/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,4,,1,3,4,prefill,decode,1,1,1,1,1,1,1,1,8,8,256,uniform,256,256,256.0,uniform,16,16,16.0,decode_heavy,P1/D3,256,65536,4096,31969864398,8.007541002144979,128.12065603431967,9226785.6171875,9226785.6171875,3647241.0625,917.0,155284315.6796875,206419568.0,25674015.0,477239729.6796875,528374982.0,256,0,1.0,8.007541002144979,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0256__out_0016/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_08__in_0256__out_0032,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0256__out_0032/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,4,,1,3,4,prefill,decode,1,1,1,1,1,1,1,1,8,8,256,uniform,256,256,256.0,uniform,32,32,32.0,decode_heavy,P1/D3,256,65536,8192,32389977775,7.903679396704989,252.91774069455965,9226785.6171875,9226785.6171875,4658595.53515625,917.0,156295670.15234375,213513887.0,25674015.0,889035324.1523438,946253541.0,256,0,1.0,7.903679396704989,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0256__out_0032/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_08__in_0256__out_0064,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0256__out_0064/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,4,,1,3,4,prefill,decode,1,1,1,1,1,1,1,1,8,8,256,uniform,256,256,256.0,uniform,64,64,64.0,decode_heavy,P1/D3,256,65536,16384,33212551570,7.707929318843358,493.3074764059749,9226785.6171875,9226785.6171875,6343596.12890625,917.0,157980670.74609375,213738670.0,25674015.0,1712288804.7460938,1768046804.0,256,0,1.0,7.707929318843358,23,13,/home/justin/astra-sim/build/paper_data/20260608T232919Z_non_chunk_colocated_dp_crossover_fix/sweeps/input_output_shape_4gpu/gpu4__p1_d3__rps_08__in_0256__out_0064/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
