case_name,source_summary,architecture,scale_family,calibration_scope,prefill_logical_gpus,decode_logical_gpus,total_logical_gpus,pd_prefill_workers,pd_decode_workers,pd_prefill_tp_degree,pd_decode_tp_degree,topology_deployment,topology_prefill_layout_name,topology_decode_layout_name,topology_prefill_tp_degree,topology_decode_tp_degree,topology_prefill_pp_degree,topology_decode_pp_degree,topology_prefill_ep_degree,topology_decode_ep_degree,topology_prefill_dp_attention_degree,topology_decode_dp_attention_degree,topology_prefill_dp_replica_count,topology_decode_dp_replica_count,target_request_rate_per_second,trace_request_rate_per_second,trace_num_requests,prompt_tokens_distribution,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,output_tokens_distribution,output_tokens_min,output_tokens_max,output_tokens_mean,pressure_family,num_requests,total_prompt_tokens,total_output_tokens,makespan_ns,request_throughput_reqs_per_sec,output_token_throughput_tokens_per_sec,queue_delay_mean_ns,prefill_queue_delay_mean_ns,decode_queue_delay_mean_ns,transfer_duration_mean_ns,ttft_mean_ns,ttft_p99_ns,tpot_mean_ns,e2e_mean_ns,e2e_p99_ns,good_requests,bad_requests,slo_attainment_fraction,goodput_reqs_per_sec,runtime_seed,trace_seed,request_config_path,binary
gpu4__p1_d3__rps_08__out_0016,build/pd_4gpu_output_length_sweep/gpu4__p1_d3__rps_08__out_0016/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8,8,256,uniform,512,512,512.0,uniform,16,16,16.0,decode_heavy,256,131072,4096,32122184774,7.969569996596521,127.51311994554433,15942578.91796875,15942578.91796875,4255163.0078125,947.0,208584404.19140625,312521079.0,33524887.0,628546258.9257812,731851710.0,256,0,1.0,7.969569996596521,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p1_d3__rps_08__out_0016/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_08__out_0032,build/pd_4gpu_output_length_sweep/gpu4__p1_d3__rps_08__out_0032/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8,8,256,uniform,512,512,512.0,uniform,32,32,32.0,decode_heavy,256,131072,8192,32659584872,7.838433985101757,250.82988752325622,15942578.91796875,15942578.91796875,6234162.984375,947.0,210563404.16796875,313864054.0,33524887.0,1166923450.9023438,1270481167.0,256,0,1.0,7.838433985101757,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p1_d3__rps_08__out_0032/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_08__out_0064,build/pd_4gpu_output_length_sweep/gpu4__p1_d3__rps_08__out_0064/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8,8,256,uniform,512,512,512.0,uniform,64,64,64.0,decode_heavy,256,131072,16384,33732487853,7.589123017418729,485.7038731147987,15942578.91796875,15942578.91796875,6371506.5546875,947.0,210700747.73828125,313007446.0,33524887.0,2239857178.4726562,2341532653.0,256,0,1.0,7.589123017418729,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p1_d3__rps_08__out_0064/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_08__out_0128,build/pd_4gpu_output_length_sweep/gpu4__p1_d3__rps_08__out_0128/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8,8,256,uniform,512,512,512.0,uniform,128,128,128.0,decode_heavy,256,131072,32768,35881173833,7.134660677253435,913.2365666884397,15942578.91796875,15942578.91796875,7198005.171875,947.0,211527246.35546875,307356357.0,33524887.0,4386276445.089844,4482362622.0,256,0,1.0,7.134660677253435,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p1_d3__rps_08__out_0128/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_16__out_0016,build/pd_4gpu_output_length_sweep/gpu4__p1_d3__rps_16__out_0016/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,16,16,256,uniform,512,512,512.0,uniform,16,16,16.0,decode_heavy,256,131072,4096,16470060586,15.543355087449221,248.69368139918754,33735883.02734375,33735883.02734375,8518003.84375,947.0,1805471366.1054688,3991326593.0,36250000.0,715528947.8710938,843336223.0,143,113,0.55859375,8.682421005879839,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p1_d3__rps_16__out_0016/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_16__out_0032,build/pd_4gpu_output_length_sweep/gpu4__p1_d3__rps_16__out_0032/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,16,16,256,uniform,512,512,512.0,uniform,32,32,32.0,decode_heavy,256,131072,8192,17050060586,15.014609403218458,480.46750090299065,33735883.02734375,33735883.02734375,6373677.49609375,947.0,1803327039.7578125,3984804164.0,36250000.0,1293384621.5234375,1418789551.0,142,114,0.5546875,8.328416153347739,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p1_d3__rps_16__out_0032/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_16__out_0064,build/pd_4gpu_output_length_sweep/gpu4__p1_d3__rps_16__out_0064/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,16,16,256,uniform,512,512,512.0,uniform,64,64,64.0,decode_heavy,256,131072,16384,18220795963,14.0498801764668,899.1923312938752,33735883.02734375,33735883.02734375,7551136.890625,947.0,1804504499.1523438,3984804164.0,36250000.0,2454562080.9179688,2584369444.0,143,113,0.55859375,7.848175254823252,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p1_d3__rps_16__out_0064/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_16__out_0128,build/pd_4gpu_output_length_sweep/gpu4__p1_d3__rps_16__out_0128/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,16,16,256,uniform,512,512,512.0,uniform,128,128,128.0,decode_heavy,256,131072,32768,20529490135,12.46986643684612,1596.1429039163033,33735883.02734375,33735883.02734375,8365607.6015625,947.0,1805318969.8632812,3984804164.0,36250000.0,4775376551.628906,4907592170.0,143,113,0.55859375,6.965589454957012,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p1_d3__rps_16__out_0128/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p2_d2__rps_08__out_0016,build/pd_4gpu_output_length_sweep/gpu4__p2_d2__rps_08__out_0016/summary.json,pd_disaggregated,balanced_worker_scaling,extrapolated,2,2,4,2,2,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8,8,256,uniform,512,512,512.0,uniform,16,16,16.0,balanced,256,131072,4096,32100505488,7.974952297735605,127.59923676376968,1907046.484375,1907046.484375,8245453.4609375,947.0,192416218.2109375,256032524.0,33524887.0,612378072.9453125,676854811.0,256,0,1.0,7.974952297735605,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p2_d2__rps_08__out_0016/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p2_d2__rps_08__out_0032,build/pd_4gpu_output_length_sweep/gpu4__p2_d2__rps_08__out_0032/summary.json,pd_disaggregated,balanced_worker_scaling,extrapolated,2,2,4,2,2,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8,8,256,uniform,512,512,512.0,uniform,32,32,32.0,balanced,256,131072,8192,32648389965,7.841121729875172,250.9158953560055,1907046.484375,1907046.484375,9855390.37109375,947.0,194026155.12109375,256032524.0,33524887.0,1150386201.8554688,1213253003.0,256,0,1.0,7.841121729875172,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p2_d2__rps_08__out_0032/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p2_d2__rps_08__out_0064,build/pd_4gpu_output_length_sweep/gpu4__p2_d2__rps_08__out_0064/summary.json,pd_disaggregated,balanced_worker_scaling,extrapolated,2,2,4,2,2,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8,8,256,uniform,512,512,512.0,uniform,64,64,64.0,balanced,256,131072,16384,33723969385,7.591039983385396,485.8265589366653,1907046.484375,1907046.484375,10417020.55859375,947.0,194587785.30859375,257384768.0,33524887.0,2223744216.0429688,2287401631.0,256,0,1.0,7.591039983385396,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p2_d2__rps_08__out_0064/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p2_d2__rps_08__out_0128,build/pd_4gpu_output_length_sweep/gpu4__p2_d2__rps_08__out_0128/summary.json,pd_disaggregated,balanced_worker_scaling,extrapolated,2,2,4,2,2,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8,8,256,uniform,512,512,512.0,uniform,128,128,128.0,balanced,256,131072,32768,35869562153,7.136970306691884,913.5321992565612,1907046.484375,1907046.484375,13719155.734375,947.0,197889920.484375,258620429.0,33524887.0,4372639119.21875,4433107128.0,256,0,1.0,7.136970306691884,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p2_d2__rps_08__out_0128/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p2_d2__rps_16__out_0016,build/pd_4gpu_output_length_sweep/gpu4__p2_d2__rps_16__out_0016/summary.json,pd_disaggregated,balanced_worker_scaling,extrapolated,2,2,4,2,2,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,16,16,256,uniform,512,512,512.0,uniform,16,16,16.0,balanced,256,131072,4096,16398715335,15.610978955992714,249.77566329588342,5649024.65234375,5649024.65234375,9476722.53515625,947.0,1755962810.421875,3905112205.0,36250000.0,666020392.1875,753146884.0,145,111,0.56640625,8.842156049292749,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p2_d2__rps_16__out_0016/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p2_d2__rps_16__out_0032,build/pd_4gpu_output_length_sweep/gpu4__p2_d2__rps_16__out_0032/summary.json,pd_disaggregated,balanced_worker_scaling,extrapolated,2,2,4,2,2,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,16,16,256,uniform,512,512,512.0,uniform,32,32,32.0,balanced,256,131072,8192,16974139896,15.081765648716438,482.616500758926,5649024.65234375,5649024.65234375,10729677.29296875,947.0,1757215765.1796875,3905112205.0,36250000.0,1247273346.9453125,1333146884.0,145,111,0.56640625,8.542406324468294,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p2_d2__rps_16__out_0032/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p2_d2__rps_16__out_0064,build/pd_4gpu_output_length_sweep/gpu4__p2_d2__rps_16__out_0064/summary.json,pd_disaggregated,balanced_worker_scaling,extrapolated,2,2,4,2,2,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,16,16,256,uniform,512,512,512.0,uniform,64,64,64.0,balanced,256,131072,16384,18153732837,14.101782939001616,902.5141080961034,5649024.65234375,5649024.65234375,11605572.390625,947.0,1758091660.2773438,3905112205.0,36250000.0,2408149242.0429688,2492706074.0,145,111,0.56640625,7.987337992793884,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p2_d2__rps_16__out_0064/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p2_d2__rps_16__out_0128,build/pd_4gpu_output_length_sweep/gpu4__p2_d2__rps_16__out_0128/summary.json,pd_disaggregated,balanced_worker_scaling,extrapolated,2,2,4,2,2,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,16,16,256,uniform,512,512,512.0,uniform,128,128,128.0,balanced,256,131072,32768,20473732837,12.50382634364352,1600.4897719863707,5649024.65234375,5649024.65234375,17024122.26953125,947.0,1763510210.15625,3905112205.0,36250000.0,4733567791.921875,4825179439.0,145,111,0.56640625,7.082245389954338,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p2_d2__rps_16__out_0128/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p3_d1__rps_08__out_0016,build/pd_4gpu_output_length_sweep/gpu4__p3_d1__rps_08__out_0016/summary.json,pd_disaggregated,prefill_worker_scaling,extrapolated,3,1,4,3,1,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8,8,256,uniform,512,512,512.0,uniform,16,16,16.0,prefill_heavy,256,131072,4096,32118682205,7.970439084831065,127.52702535729703,271463.89453125,271463.89453125,17293514.66015625,947.0,198984152.8203125,215364836.0,33524887.0,618946007.5546875,634813962.0,256,0,1.0,7.970439084831065,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p3_d1__rps_08__out_0016/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p3_d1__rps_08__out_0032,build/pd_4gpu_output_length_sweep/gpu4__p3_d1__rps_08__out_0032/summary.json,pd_disaggregated,prefill_worker_scaling,extrapolated,3,1,4,3,1,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8,8,256,uniform,512,512,512.0,uniform,32,32,32.0,prefill_heavy,256,131072,8192,32651173001,7.840453388677936,250.89450843769396,271463.89453125,271463.89453125,17054350.60546875,947.0,198744988.765625,215151212.0,33524887.0,1155105035.5,1171241771.0,256,0,1.0,7.840453388677936,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p3_d1__rps_08__out_0032/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p3_d1__rps_08__out_0064,build/pd_4gpu_output_length_sweep/gpu4__p3_d1__rps_08__out_0064/summary.json,pd_disaggregated,prefill_worker_scaling,extrapolated,3,1,4,3,1,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8,8,256,uniform,512,512,512.0,uniform,64,64,64.0,prefill_heavy,256,131072,16384,33723969385,7.591039983385396,485.8265589366653,271463.89453125,271463.89453125,17054350.60546875,947.0,198744988.765625,215151212.0,33524887.0,2227901419.5,2244038155.0,256,0,1.0,7.591039983385396,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p3_d1__rps_08__out_0064/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p3_d1__rps_08__out_0128,build/pd_4gpu_output_length_sweep/gpu4__p3_d1__rps_08__out_0128/summary.json,pd_disaggregated,prefill_worker_scaling,extrapolated,3,1,4,3,1,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8,8,256,uniform,512,512,512.0,uniform,128,128,128.0,prefill_heavy,256,131072,32768,35869562153,7.136970306691884,913.5321992565612,271463.89453125,271463.89453125,17054350.60546875,947.0,198744988.765625,215151212.0,33524887.0,4373494187.5,4389630923.0,256,0,1.0,7.136970306691884,23,13,/home/justin/astra-sim/build/pd_4gpu_output_length_sweep/gpu4__p3_d1__rps_08__out_0128/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
