case_name,source_summary,architecture,scale_family,calibration_scope,prefill_logical_gpus,decode_logical_gpus,total_logical_gpus,pd_prefill_workers,pd_decode_workers,pd_prefill_tp_degree,pd_decode_tp_degree,topology_deployment,topology_prefill_layout_name,topology_decode_layout_name,topology_prefill_tp_degree,topology_decode_tp_degree,topology_prefill_pp_degree,topology_decode_pp_degree,topology_prefill_ep_degree,topology_decode_ep_degree,topology_prefill_dp_attention_degree,topology_decode_dp_attention_degree,topology_prefill_dp_replica_count,topology_decode_dp_replica_count,target_request_rate_per_second,trace_request_rate_per_second,trace_num_requests,prompt_tokens_distribution,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,output_tokens_distribution,output_tokens_min,output_tokens_max,output_tokens_mean,pressure_family,num_requests,total_prompt_tokens,total_output_tokens,makespan_ns,request_throughput_reqs_per_sec,output_token_throughput_tokens_per_sec,queue_delay_mean_ns,prefill_queue_delay_mean_ns,decode_queue_delay_mean_ns,transfer_duration_mean_ns,ttft_mean_ns,ttft_p99_ns,tpot_mean_ns,e2e_mean_ns,e2e_p99_ns,good_requests,bad_requests,slo_attainment_fraction,goodput_reqs_per_sec,runtime_seed,trace_seed,request_config_path,binary
gpu4__p1_d3__rps_04__in_0128,build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_04__in_0128/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,4,4,256,uniform,128,128,128.0,uniform,8,48,28.0,decode_heavy,256,32768,7632,64348933906,3.9783098873706457,118.60336351723738,2928281.66015625,2928281.66015625,2921281.4375,888.0,147374493.09765625,185302740.0,27835111.0,880608667.7851562,1407584059.0,256,0,1.0,3.9783098873706457,23,13,/home/justin/astra-sim/build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_04__in_0128/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_04__in_0256,build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_04__in_0256/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,4,4,256,uniform,256,256,256.0,uniform,8,48,28.0,decode_heavy,256,65536,7632,64355039295,3.9779324634782665,118.59211156744583,4173244.8828125,4173244.8828125,3063210.265625,908.0,155728893.1484375,204388866.0,27835111.0,888963067.8359375,1426552784.0,256,0,1.0,3.9779324634782665,23,13,/home/justin/astra-sim/build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_04__in_0256/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_04__in_0512,build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_04__in_0512/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,4,4,256,uniform,512,512,512.0,uniform,8,48,28.0,decode_heavy,256,131072,7632,64374102904,3.976754447075844,118.5569919534486,6977646.35546875,6977646.35546875,3074605.6328125,947.0,172901976.98828125,247332379.0,27835111.0,906136151.6757812,1456160129.0,256,0,1.0,3.976754447075844,23,13,/home/justin/astra-sim/build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_04__in_0512/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_04__in_1024,build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_04__in_1024/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,4,4,256,uniform,1024,1024,1024.0,uniform,8,48,28.0,decode_heavy,256,262144,7632,64399773781,3.9751692431492396,118.5097330613867,14067545.40625,14067545.40625,3105593.24609375,1025.0,214226973.65234375,350765094.0,27835111.0,947461148.3398438,1506741377.0,256,0,1.0,3.9751692431492396,23,13,/home/justin/astra-sim/build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_04__in_1024/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_08__in_0128,build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_08__in_0128/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8,8,256,uniform,128,128,128.0,uniform,8,48,28.0,decode_heavy,256,32768,7632,33128162898,7.7275640302847926,230.37800265286538,5990640.5390625,5990640.5390625,6109029.9921875,888.0,174199841.796875,214715604.0,33524887.0,1057224198.21875,1693776622.0,256,0,1.0,7.7275640302847926,23,13,/home/justin/astra-sim/build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_08__in_0128/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_08__in_0256,build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_08__in_0256/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8,8,256,uniform,256,256,256.0,uniform,8,48,28.0,decode_heavy,256,65536,7632,33134919270,7.725988342207299,230.3310274520551,9226785.6171875,9226785.6171875,5413882.640625,908.0,184658459.5234375,235311291.0,33524887.0,1067682815.9453125,1692873770.0,256,0,1.0,7.725988342207299,23,13,/home/justin/astra-sim/build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_08__in_0256/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_08__in_0512,build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_08__in_0512/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8,8,256,uniform,512,512,512.0,uniform,8,48,28.0,decode_heavy,256,131072,7632,33162458177,7.719572494705781,230.1397549984161,15942578.91796875,15942578.91796875,6336133.49609375,947.0,210665374.6796875,318910481.0,33524887.0,1093689731.1015625,1740049788.0,256,0,1.0,7.719572494705781,23,13,/home/justin/astra-sim/build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_08__in_0512/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_08__in_1024,build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_08__in_1024/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,8,8,256,uniform,1024,1024,1024.0,uniform,8,48,28.0,decode_heavy,256,262144,7632,33243889931,7.700663205519744,229.57602181455738,39288556.4921875,39288556.4921875,6764833.796875,1025.0,281523458.5546875,478849080.0,33524887.0,1164547814.9765625,1866690067.0,256,0,1.0,7.700663205519744,23,13,/home/justin/astra-sim/build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_08__in_1024/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_12__in_0128,build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_12__in_0128/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,12,12,256,uniform,128,128,128.0,uniform,8,48,28.0,decode_heavy,256,32768,7632,22704313561,11.27539043680846,336.14757739735217,10015801.45703125,10015801.45703125,7481210.2265625,888.0,1082637664.2578125,2193833592.0,34887444.0,1104034529.9335938,1757344231.0,235,21,0.91796875,10.350456065039015,23,13,/home/justin/astra-sim/build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_12__in_0128/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
gpu4__p1_d3__rps_12__in_0256,build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_12__in_0256/summary.json,pd_disaggregated,decode_worker_scaling,extrapolated,1,3,4,1,3,1,1,pd_disaggregated,prefill,decode,1,1,1,1,1,1,1,1,1,1,12,12,256,uniform,256,256,256.0,uniform,8,48,28.0,decode_heavy,256,65536,7632,22713892849,11.270635187982347,336.00581154172374,14274002.60546875,14274002.60546875,7401551.26171875,908.0,1095842290.4414062,2203412880.0,34887444.0,1117239156.1171875,1781144119.0,234,22,0.9140625,10.302064976515114,23,13,/home/justin/astra-sim/build/pd_4gpu_pressure_sweep/gpu4__p1_d3__rps_12__in_0256/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
